TCSS,390,{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 0, '26': 0, '27': 0, '28': 0, '29': 0, '30': 0, '31': 0, '32': 0, '33': 0, '34': 0, '35': 0, '36': 0, '37': 0, '38': 0, '39': 0, '40': 0}
TCSS,421,{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 0, '26': 0, '27': 0, '28': 1, '29': 0, '30': 0, '31': 2, '32': 3, '33': 3, '34': 4, '35': 6, '36': 4, '37': 3, '38': 7, '39': 12, '40': 43}
TCSS,422,{'0': 22, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 2, '16': 2, '17': 2, '18': 3, '19': 1, '20': 9, '21': 7, '22': 4, '23': 9, '24': 9, '25': 4, '26': 13, '27': 13, '28': 21, '29': 19, '30': 24, '31': 19, '32': 29, '33': 28, '34': 32, '35': 32, '36': 41, '37': 57, '38': 85, '39': 137, '40': 291}
TCSS,430,{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 1, '26': 1, '27': 1, '28': 2, '29': 0, '30': 3, '31': 1, '32': 2, '33': 6, '34': 10, '35': 8, '36': 15, '37': 24, '38': 22, '39': 7, '40': 29}
TCSS,431,{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 2, '21': 0, '22': 0, '23': 2, '24': 1, '25': 3, '26': 1, '27': 2, '28': 4, '29': 1, '30': 5, '31': 1, '32': 4, '33': 5, '34': 4, '35': 12, '36': 24, '37': 25, '38': 30, '39': 23, '40': 130}
TCSS,435,{'0': 28, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 0, '11': 0, '12': 3, '13': 2, '14': 0, '15': 5, '16': 0, '17': 0, '18': 2, '19': 0, '20': 13, '21': 9, '22': 5, '23': 10, '24': 10, '25': 7, '26': 12, '27': 13, '28': 21, '29': 22, '30': 18, '31': 29, '32': 21, '33': 25, '34': 21, '35': 26, '36': 32, '37': 33, '38': 39, '39': 33, '40': 51}
TCSS,437,{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 0, '26': 0, '27': 0, '28': 0, '29': 0, '30': 0, '31': 1, '32': 1, '33': 0, '34': 2, '35': 2, '36': 1, '37': 2, '38': 13, '39': 22, '40': 42}
TCSS,440,{'0': 9, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 2, '14': 2, '15': 0, '16': 0, '17': 8, '18': 3, '19': 0, '20': 8, '21': 3, '22': 5, '23': 4, '24': 3, '25': 8, '26': 3, '27': 3, '28': 7, '29': 7, '30': 6, '31': 4, '32': 5, '33': 4, '34': 8, '35': 4, '36': 5, '37': 4, '38': 3, '39': 3, '40': 20}
TCSS,445,{'0': 11, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 1, '16': 4, '17': 0, '18': 0, '19': 6, '20': 8, '21': 7, '22': 1, '23': 10, '24': 8, '25': 9, '26': 7, '27': 12, '28': 20, '29': 23, '30': 23, '31': 31, '32': 28, '33': 33, '34': 50, '35': 46, '36': 77, '37': 49, '38': 93, '39': 177, '40': 247}
TCSS,446,{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 1, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 1, '24': 0, '25': 3, '26': 0, '27': 0, '28': 0, '29': 0, '30': 2, '31': 2, '32': 1, '33': 0, '34': 1, '35': 1, '36': 0, '37': 3, '38': 3, '39': 5, '40': 23}
TCSS,450,{'0': 11, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 2, '12': 1, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1, '18': 0, '19': 0, '20': 7, '21': 3, '22': 7, '23': 5, '24': 1, '25': 5, '26': 3, '27': 5, '28': 4, '29': 10, '30': 16, '31': 17, '32': 14, '33': 18, '34': 16, '35': 26, '36': 35, '37': 41, '38': 91, '39': 178, '40': 201}
TCSS,452,{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 1, '11': 1, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 2, '21': 2, '22': 1, '23': 1, '24': 0, '25': 1, '26': 1, '27': 3, '28': 3, '29': 5, '30': 6, '31': 6, '32': 4, '33': 12, '34': 10, '35': 20, '36': 29, '37': 40, '38': 41, '39': 32, '40': 43}
TCSS,455,{'0': 5, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 1, '16': 0, '17': 11, '18': 0, '19': 0, '20': 1, '21': 0, '22': 0, '23': 0, '24': 1, '25': 0, '26': 1, '27': 0, '28': 0, '29': 2, '30': 6, '31': 7, '32': 5, '33': 10, '34': 18, '35': 14, '36': 28, '37': 17, '38': 22, '39': 14, '40': 57}
TCSS,456,{'0': 7, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 1, '19': 0, '20': 3, '21': 0, '22': 2, '23': 2, '24': 1, '25': 4, '26': 2, '27': 8, '28': 9, '29': 5, '30': 11, '31': 9, '32': 21, '33': 16, '34': 19, '35': 19, '36': 19, '37': 12, '38': 22, '39': 19, '40': 2}
TCSS,458,{'0': 4, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 2, '21': 0, '22': 0, '23': 1, '24': 2, '25': 0, '26': 3, '27': 2, '28': 4, '29': 3, '30': 2, '31': 2, '32': 5, '33': 8, '34': 7, '35': 1, '36': 3, '37': 5, '38': 10, '39': 17, '40': 9}
