PREFIX, NUMBER, SAMPLE SIZE, 0.0 - 0.9, 1.0 - 1.9, 2.0 - 2.9, 3.0 - 4.0 
AMATH,422,125,0.008,0.0,0.088,0.904
GEOG,317,266,0.045112781954887216,0.041353383458646614,0.13157894736842105,0.7819548872180451
GEOG,323,105,0.05714285714285714,0.01904761904761905,0.17142857142857143,0.7523809523809524
GERMAN,195,197,0.015228426395939087,0.005076142131979695,0.09644670050761421,0.883248730964467
GERMAN,210,15,0.0,0.0,0.06666666666666667,0.9333333333333333
FINN,203,19,0.0,0.0,0.0,1.0
GERMAN,304,18,0.0,0.0,0.0,1.0
GREEK,301,32,0.0,0.0,0.0625,0.9375
GWSS,300,212,0.018867924528301886,0.014150943396226415,0.08018867924528301,0.8867924528301887
HONORS,381,15,0.0,0.0,0.0,1.0
AMATH,423,77,0.012987012987012988,0.0,0.11688311688311688,0.8701298701298701
AMATH,481,355,0.03380281690140845,0.005633802816901409,0.04788732394366197,0.9126760563380282
AMATH,482,448,0.033482142857142856,0.015625,0.046875,0.9040178571428571
AMATH,483,206,0.05825242718446602,0.009708737864077669,0.0825242718446602,0.8495145631067961
GERMAN,103,755,0.026490066225165563,0.038410596026490065,0.16556291390728478,0.7695364238410596
ANEST,499,133,0.0,0.0,0.0,1.0
ANTH,101,501,0.027944111776447105,0.03592814371257485,0.13972055888223553,0.7964071856287425
HSTAA,203,96,0.0,0.0,0.0,1.0
ANTH,150,18,0.16666666666666666,0.0,0.05555555555555555,0.7777777777777778
HSTAA,270,16,0.0,0.0,0.0,1.0
HSTAA,316,29,0.0,0.0,0.10344827586206896,0.896551724137931
HSTAA,336,14,0.0,0.0,0.07142857142857142,0.9285714285714286
HONORS,242,28,0.0,0.0,0.0,1.0
ANTH,202,36,0.1111111111111111,0.0,0.16666666666666666,0.7222222222222222
HSTAM,290,21,0.09523809523809523,0.0,0.047619047619047616,0.8571428571428571
ANTH,203,664,0.03313253012048193,0.0963855421686747,0.2605421686746988,0.6099397590361446
HSTAM,335,76,0.0,0.0,0.0,1.0
HSERV,346,21,0.0,0.0,0.14285714285714285,0.8571428571428571
HSTAS,214,35,0.02857142857142857,0.05714285714285714,0.2,0.7142857142857143
HSTAS,317,121,0.008264462809917356,0.0,0.04132231404958678,0.9504132231404959
HSTCMP,210,32,0.0,0.03125,0.09375,0.875
HSTCMP,220,10,0.0,0.0,0.0,1.0
HSTCMP,248,202,0.019801980198019802,0.0049504950495049506,0.039603960396039604,0.9356435643564357
HSTEU,303,123,0.07317073170731707,0.032520325203252036,0.22764227642276422,0.6666666666666666
INDE,310,79,0.012658227848101266,0.012658227848101266,0.27848101265822783,0.6962025316455697
HSTRY,288,119,0.058823529411764705,0.03361344537815126,0.06722689075630252,0.8403361344537815
HSTEU,370,199,0.035175879396984924,0.0,0.07537688442211055,0.8894472361809045
INDE,338,74,0.0,0.0,0.05405405405405406,0.9459459459459459
ANTH,204,233,0.02145922746781116,0.0,0.02575107296137339,0.9527896995708155
ANTH,207,88,0.03409090909090909,0.03409090909090909,0.07954545454545454,0.8522727272727273
INDO,313,17,0.0,0.0,0.0,1.0
ANTH,208,284,0.03873239436619718,0.0,0.045774647887323945,0.9154929577464789
ANTH,209,910,0.013186813186813187,0.005494505494505495,0.027472527472527472,0.9538461538461539
ANTH,210,317,0.08517350157728706,0.0031545741324921135,0.04100946372239748,0.8706624605678234
JAPAN,343,277,0.04332129963898917,0.02527075812274368,0.15162454873646208,0.779783393501805
JEWST,295,18,0.0,0.0,0.1111111111111111,0.8888888888888888
INDE,311,58,0.0,0.10344827586206896,0.15517241379310345,0.7413793103448276
JSISA,211,36,0.05555555555555555,0.027777777777777776,0.2222222222222222,0.6944444444444444
INFO,370,1015,0.026600985221674877,0.0049261083743842365,0.04532019704433497,0.9231527093596059
ANTH,211,50,0.08,0.0,0.02,0.9
ITAL,303,9,0.0,0.0,0.0,1.0
ANTH,213,868,0.00576036866359447,0.016129032258064516,0.055299539170506916,0.9228110599078341
ANTH,215,4230,0.01938534278959811,0.011583924349881796,0.042789598108747044,0.926241134751773
ANTH,228,985,0.027411167512690356,0.018274111675126905,0.0416243654822335,0.9126903553299492
