PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TEE,317,66,0.0,0.030303030303030304,0.2878787878787879,0.6818181818181818
TEE,331,150,0.006666666666666667,0.03333333333333333,0.3,0.66
TEE,341,148,0.0,0.013513513513513514,0.12837837837837837,0.8581081081081081
TEE,372,159,0.012578616352201259,0.006289308176100629,0.1761006289308176,0.8050314465408805
TEE,417,75,0.08,0.0,0.10666666666666667,0.8133333333333334
TEE,431,122,0.01639344262295082,0.0,0.05737704918032787,0.9262295081967213
TEE,451,124,0.04032258064516129,0.008064516129032258,0.1935483870967742,0.7580645161290323
TEE,453,162,0.012345679012345678,0.05555555555555555,0.18518518518518517,0.7469135802469136
TEE,461,28,0.0,0.0,0.10714285714285714,0.8928571428571429
TEE,480,21,0.0,0.0,0.0,1.0
TEE,481,93,0.0,0.0,0.0,1.0
TEE,482,102,0.0,0.049019607843137254,0.0196078431372549,0.9313725490196079
TEE,497,11,0.0,0.0,0.0,1.0
TEE,499,10,0.0,0.0,0.0,1.0
TESC,102,340,0.20294117647058824,0.11176470588235295,0.3205882352941177,0.36470588235294116
TESC,201,884,0.07352941176470588,0.08144796380090498,0.2330316742081448,0.6119909502262444
TESC,210,24,0.0,0.0,0.08333333333333333,0.9166666666666666
TESC,239,187,0.06951871657754011,0.0374331550802139,0.22459893048128343,0.6684491978609626
TESC,301,129,0.015503875968992248,0.007751937984496124,0.015503875968992248,0.9612403100775194
TESC,310,274,0.029197080291970802,0.040145985401459854,0.12773722627737227,0.8029197080291971
TESC,345,496,0.12701612903225806,0.16733870967741934,0.26411290322580644,0.4415322580645161
TESC,410,261,0.007662835249042145,0.01532567049808429,0.06513409961685823,0.9118773946360154
TESC,430,33,0.06060606060606061,0.06060606060606061,0.24242424242424243,0.6363636363636364
TESC,433,11,0.0,0.0,0.2727272727272727,0.7272727272727273
TESC,435,42,0.023809523809523808,0.047619047619047616,0.14285714285714285,0.7857142857142857
TESC,437,9,0.0,0.0,0.1111111111111111,0.8888888888888888
TESC,490,30,0.0,0.0,0.13333333333333333,0.8666666666666667
TESC,495,56,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.9464285714285714
TESC,499,174,0.005747126436781609,0.017241379310344827,0.028735632183908046,0.9482758620689655
TEST,200,149,0.14093959731543623,0.11409395973154363,0.18120805369127516,0.5637583892617449
TEST,295,107,0.056074766355140186,0.0,0.06542056074766354,0.8785046728971962
TEST,332,110,0.13636363636363635,0.03636363636363636,0.21818181818181817,0.6090909090909091
